               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
44,0.03758,0.034863,0.032447,0.79669,0.42756,0.43955,0.2672,0.026529,0.018402,0.037369,0.0026785,0.0026785,0.075778
45,0.038133,0.034278,0.033263,0.80284,0.38172,0.42697,0.23165,0.032218,0.018749,0.03644,0.0027377,0.0027377,0.075238
46,0.040447,0.035441,0.031413,0.79991,0.4316,0.46775,0.28288,0.027855,0.018061,0.036232,0.0027968,0.0027968,0.074697
47,0.038712,0.035949,0.031253,0.79919,0.37682,0.42855,0.22554,0.033558,0.018446,0.034812,0.0028559,0.0028559,0.074156
48,0.038879,0.032417,0.031963,0.7866,0.39015,0.39467,0.18472,0.032526,0.018379,0.033876,0.002915,0.002915,0.073615
49,0.03674,0.033339,0.032303,0.84847,0.43963,0.49328,0.29603,0.025123,0.017496,0.034543,0.0029741,0.0029741,0.073074
50,0.03988,0.037051,0.029662,0.82503,0.3849,0.44624,0.23174,0.031859,0.018279,0.032963,0.0030331,0.0030331,0.072533
51,0.036742,0.032088,0.0304,0.82083,0.4187,0.4708,0.25923,0.028445,0.018368,0.033143,0.0030921,0.0030921,0.071992
52,0.037168,0.03444,0.029589,0.72214,0.39963,0.36113,0.16626,0.033372,0.018054,0.03272,0.003151,0.003151,0.071451
53,0.038778,0.034373,0.028479,0.83066,0.43451,0.47919,0.2668,0.031276,0.0177,0.034167,0.0032099,0.0032099,0.07091
54,0.038299,0.033748,0.029047,0.89092,0.40844,0.5153,0.29707,0.027753,0.017314,0.033132,0.0032687,0.0032687,0.070369
55,0.037214,0.033453,0.028634,0.86248,0.43514,0.50473,0.30316,0.026697,0.017159,0.030623,0.0033276,0.0033276,0.069828
56,0.036091,0.03175,0.02878,0.27523,0.67664,0.43429,0.22736,0.030861,0.018388,0.035227,0.0033863,0.0033863,0.069286
57,0.036935,0.036658,0.028571,0.82528,0.39327,0.47287,0.25653,0.029188,0.018627,0.033661,0.003445,0.003445,0.068745
58,0.03547,0.03473,0.02596,0.88967,0.43091,0.50316,0.29633,0.027525,0.017588,0.030263,0.0035037,0.0035037,0.068204
59,0.03579,0.033173,0.026113,0.91137,0.45299,0.55602,0.37466,0.024621,0.016906,0.028576,0.0035623,0.0035623,0.067662
60,0.035473,0.033013,0.025159,0.83533,0.44166,0.53265,0.30317,0.027778,0.017398,0.026566,0.0036209,0.0036209,0.067121
61,0.035358,0.031994,0.025179,0.90228,0.45714,0.58137,0.37434,0.025134,0.016931,0.029241,0.0036794,0.0036794,0.066579
62,0.034372,0.034573,0.024518,0.85818,0.45349,0.56577,0.34052,0.029402,0.017654,0.028162,0.0037379,0.0037379,0.066038
63,0.038468,0.034475,0.024158,0.91042,0.45685,0.55235,0.30424,0.030984,0.017748,0.026825,0.0037964,0.0037964,0.065496
64,0.037963,0.034839,0.024083,0.85673,0.45312,0.54316,0.33615,0.028963,0.017364,0.02535,0.0038547,0.0038547,0.064955
65,0.035203,0.033205,0.023895,0.32797,0.87934,0.62344,0.37599,0.027966,0.016926,0.027773,0.0039131,0.0039131,0.064413
66,0.035237,0.03481,0.023872,0.36915,0.81229,0.64426,0.41766,0.026073,0.017242,0.023764,0.0039713,0.0039713,0.063871
67,0.03566,0.035708,0.023459,0.37256,0.72981,0.59288,0.3196,0.029234,0.017031,0.024628,0.0040296,0.0040296,0.06333
68,0.036995,0.032292,0.022474,0.40393,0.76179,0.63496,0.3783,0.028659,0.016578,0.023164,0.0040878,0.0040878,0.062788
69,0.034448,0.033206,0.022403,0.43155,0.7656,0.63451,0.42341,0.027454,0.017072,0.023399,0.0041459,0.0041459,0.062246
70,0.033189,0.035887,0.023195,0.41956,0.87419,0.64813,0.41486,0.025352,0.016943,0.030524,0.0042039,0.0042039,0.061704
71,0.033886,0.03227,0.02214,0.34584,0.6681,0.49556,0.29731,0.030867,0.020452,0.031804,0.004262,0.004262,0.061162
72,0.033626,0.032838,0.021149,0.43367,0.79118,0.61788,0.38553,0.0284,0.017207,0.027819,0.0043199,0.0043199,0.06062
73,0.035347,0.034021,0.022104,0.49767,0.63266,0.65828,0.39042,0.029939,0.01724,0.023229,0.0043778,0.0043778,0.060078
74,0.035089,0.03238,0.021679,0.52927,0.70526,0.70023,0.50534,0.025178,0.016207,0.021006,0.0044356,0.0044356,0.059536
75,0.031755,0.032726,0.021601,0.57835,0.65682,0.6872,0.47255,0.02494,0.016718,0.021913,0.0044934,0.0044934,0.058993
76,0.033814,0.034286,0.019728,0.51426,0.69673,0.69211,0.46473,0.028618,0.016669,0.019257,0.0045512,0.0045512,0.058451
77,0.03486,0.03316,0.020364,0.52761,0.68854,0.68905,0.44363,0.027807,0.016732,0.021364,0.0046088,0.0046088,0.057909
78,0.034792,0.030027,0.019993,0.47963,0.70769,0.65225,0.43,0.028444,0.01723,0.026819,0.0046664,0.0046664,0.057366
79,0.033222,0.034675,0.019967,0.58846,0.70586,0.72525,0.49837,0.022435,0.015797,0.0198,0.004724,0.004724,0.056824
80,0.033934,0.029969,0.019998,0.6082,0.69762,0.72869,0.52125,0.024474,0.016263,0.018401,0.0047814,0.0047814,0.056281
81,0.034539,0.032728,0.018551,0.62828,0.75051,0.76244,0.52769,0.025493,0.016639,0.019635,0.0048388,0.0048388,0.055739
82,0.035393,0.031757,0.017895,0.60382,0.74801,0.73738,0.5055,0.027769,0.016316,0.018505,0.0048962,0.0048962,0.055196
83,0.046866,0.032882,0.017758,0.44952,0.64592,0.52122,0.22978,0.046893,0.018339,0.018825,0.0049535,0.0049535,0.054653
84,0.051424,0.035732,0.018877,0.48974,0.83034,0.73462,0.47676,0.034405,0.016738,0.019391,0.0050107,0.0050107,0.054111
85,0.046218,0.037776,0.017818,0.48314,0.74932,0.68788,0.43663,0.033109,0.017854,0.016923,0.0050679,0.0050679,0.053568
86,0.040529,0.033957,0.019198,0.39009,0.76257,0.63829,0.4099,0.031072,0.0173,0.021212,0.005125,0.005125,0.053025
87,0.040518,0.041223,0.018726,0.5002,0.68634,0.63648,0.41897,0.030179,0.018735,0.023815,0.005182,0.005182,0.052482
88,0.040564,0.036724,0.018106,0.44178,0.72611,0.58842,0.37742,0.029449,0.018157,0.030199,0.0052389,0.0052389,0.051939
89,0.038664,0.03559,0.019068,0.54606,0.80876,0.72524,0.47597,0.026146,0.016434,0.018772,0.0052958,0.0052958,0.051396
90,0.04299,0.034115,0.018065,0.56511,0.77397,0.72618,0.49295,0.031279,0.016525,0.019485,0.0053526,0.0053526,0.050853
91,0.04029,0.033075,0.018335,0.62154,0.76112,0.72574,0.46482,0.024459,0.016498,0.01705,0.0054094,0.0054094,0.050309
92,0.038392,0.032101,0.017802,0.62734,0.76431,0.76429,0.45712,0.028437,0.0165,0.016832,0.005466,0.005466,0.049766
93,0.043644,0.033284,0.01745,0.66426,0.79609,0.74751,0.49728,0.027982,0.01639,0.016089,0.0055226,0.0055226,0.049223
94,0.037462,0.033881,0.017133,0.79479,0.81775,0.81807,0.56301,0.023964,0.015966,0.017045,0.0055792,0.0055792,0.048679
95,0.040261,0.033881,0.017199,0.58068,0.78464,0.75956,0.4996,0.027363,0.016705,0.015217,0.0056356,0.0056356,0.048136
96,0.038628,0.029072,0.016888,0.6371,0.80262,0.76955,0.44662,0.028838,0.016378,0.017261,0.005692,0.005692,0.047592
97,0.041358,0.034276,0.015998,0.67662,0.82849,0.81113,0.51011,0.027263,0.016272,0.014386,0.0057483,0.0057483,0.047048
98,0.0385,0.035319,0.014144,0.69941,0.82974,0.82077,0.52116,0.028866,0.015965,0.015771,0.0058045,0.0058045,0.046505
99,0.040163,0.034539,0.016888,0.6864,0.82451,0.83894,0.48108,0.028137,0.01585,0.015153,0.0058607,0.0058607,0.045961
100,0.035103,0.028519,0.013832,0.68982,0.85028,0.83521,0.48178,0.027123,0.015483,0.014139,0.0059168,0.0059168,0.045417
101,0.038903,0.032437,0.016841,0.68755,0.81397,0.8386,0.59463,0.024489,0.015958,0.017967,0.0059727,0.0059727,0.044873
102,0.035831,0.031024,0.015006,0.64668,0.86913,0.8417,0.58363,0.024548,0.016071,0.017751,0.0060287,0.0060287,0.044329
103,0.038098,0.0314,0.014492,0.63427,0.84641,0.80897,0.50446,0.030471,0.015815,0.017807,0.0060845,0.0060845,0.043785
104,0.035782,0.030975,0.014573,0.82542,0.8033,0.84558,0.57878,0.02445,0.016039,0.016489,0.0061403,0.0061403,0.04324
105,0.035026,0.033726,0.014176,0.63545,0.85896,0.82698,0.60635,0.024125,0.016174,0.016467,0.0061959,0.0061959,0.042696
106,0.033647,0.031736,0.014958,0.74414,0.81544,0.82182,0.55021,0.025501,0.015309,0.016295,0.0062515,0.0062515,0.042152
107,0.042253,0.034703,0.014008,0.74284,0.77051,0.80305,0.54523,0.02644,0.016263,0.019399,0.006307,0.006307,0.041607
108,0.035895,0.034268,0.01454,0.74677,0.77098,0.81012,0.56297,0.025179,0.015703,0.01981,0.0063625,0.0063625,0.041062
109,0.034946,0.033678,0.013355,0.80274,0.78473,0.82759,0.64257,0.020581,0.015565,0.018118,0.0064178,0.0064178,0.040518
110,0.035677,0.035351,0.012779,0.61501,0.88785,0.80074,0.54456,0.025489,0.016392,0.021519,0.0064731,0.0064731,0.039973
111,0.033132,0.03178,0.013185,0.75985,0.7854,0.83329,0.60096,0.022757,0.016609,0.017411,0.0065283,0.0065283,0.039428
112,0.041269,0.035373,0.012208,0.73767,0.8265,0.82944,0.55695,0.02993,0.015971,0.016292,0.0065834,0.0065834,0.038883
113,0.034213,0.035996,0.013356,0.83396,0.8235,0.86705,0.64066,0.021776,0.015113,0.01308,0.0066384,0.0066384,0.038338
114,0.038172,0.032792,0.012068,0.72041,0.79618,0.81032,0.49054,0.029328,0.016429,0.013511,0.0066933,0.0066933,0.037793
115,0.030354,0.029526,0.012486,0.71973,0.83681,0.83523,0.6152,0.022343,0.015898,0.01564,0.0067481,0.0067481,0.037248
116,0.032855,0.029397,0.01316,0.68385,0.91487,0.80774,0.6093,0.020985,0.015355,0.020304,0.0068028,0.0068028,0.036703
117,0.033276,0.029038,0.012836,0.89671,0.77262,0.85817,0.62066,0.021837,0.014971,0.013962,0.0068575,0.0068575,0.036157
118,0.029671,0.029783,0.012575,0.71105,0.83842,0.82032,0.58806,0.022774,0.015566,0.014119,0.0069121,0.0069121,0.035612
119,0.032846,0.030154,0.011905,0.76329,0.95842,0.871,0.64732,0.023899,0.014963,0.0092443,0.0069665,0.0069665,0.035067
120,0.031483,0.029727,0.013391,0.76689,0.82749,0.82756,0.61076,0.020822,0.014785,0.014602,0.0070209,0.0070209,0.034521
121,0.03271,0.030866,0.012503,0.7159,0.95984,0.86361,0.63212,0.02597,0.014724,0.014737,0.0070752,0.0070752,0.033975
122,0.035537,0.034674,0.012175,0.90362,0.7899,0.85705,0.65436,0.021879,0.015318,0.01423,0.0071294,0.0071294,0.033429
123,0.029291,0.027933,0.011783,0.77699,0.80964,0.84433,0.5665,0.024795,0.016225,0.016496,0.0071835,0.0071835,0.032883
124,0.031696,0.028927,0.012462,0.75659,0.91395,0.88091,0.67076,0.021157,0.014407,0.013305,0.0072375,0.0072375,0.032337
125,0.032298,0.034069,0.011725,0.78844,0.94786,0.87698,0.56223,0.024363,0.015601,0.011082,0.0072914,0.0072914,0.031791
126,0.035096,0.028811,0.013695,0.71005,0.90881,0.86673,0.60073,0.025278,0.015138,0.0097712,0.0073452,0.0073452,0.031245
127,0.031984,0.030216,0.011246,0.79946,0.97686,0.87806,0.66528,0.021486,0.014144,0.0074468,0.0073989,0.0073989,0.030699
128,0.031964,0.032603,0.01153,0.70926,0.97418,0.85921,0.63491,0.025045,0.014979,0.010331,0.0074525,0.0074525,0.030153
129,0.03101,0.033409,0.010202,0.7996,0.97626,0.8793,0.67108,0.023141,0.015771,0.0068553,0.007506,0.007506,0.029606
130,0.03241,0.029335,0.010389,0.70019,0.92758,0.84605,0.63843,0.022221,0.015034,0.012337,0.0075595,0.0075595,0.029059
131,0.030379,0.028004,0.01278,0.77576,0.97266,0.8853,0.7012,0.020793,0.014286,0.0069189,0.0076128,0.0076128,0.028513
132,0.028681,0.032666,0.011293,0.78162,0.91914,0.87949,0.68293,0.021658,0.015023,0.0082209,0.007666,0.007666,0.027966
133,0.031958,0.032577,0.010817,0.77073,0.9426,0.88338,0.69849,0.02068,0.015164,0.010868,0.0077191,0.0077191,0.027419
134,0.031536,0.029922,0.010118,0.81396,0.75114,0.82354,0.577,0.030088,0.016455,0.011868,0.0077722,0.0077722,0.026872
135,0.03493,0.030239,0.010802,0.74324,0.87424,0.84005,0.63815,0.023642,0.016153,0.015752,0.0078251,0.0078251,0.026325
136,0.029079,0.028204,0.010843,0.81819,0.83777,0.87679,0.68558,0.021614,0.014688,0.011453,0.0078779,0.0078779,0.025778
137,0.029109,0.030914,0.0086295,0.78602,0.93941,0.89508,0.68818,0.01884,0.014113,0.010054,0.0079306,0.0079306,0.025231
138,0.030086,0.031198,0.010484,0.78406,0.98463,0.89138,0.72012,0.01987,0.014158,0.0098067,0.0079832,0.0079832,0.024683
139,0.028396,0.030471,0.01066,0.8033,0.97581,0.89451,0.69625,0.02227,0.014433,0.007236,0.0080357,0.0080357,0.024136
140,0.03036,0.028873,0.010065,0.79973,0.96282,0.90086,0.72118,0.021585,0.014313,0.010249,0.0080881,0.0080881,0.023588
141,0.031082,0.031547,0.010149,0.74358,0.94444,0.89402,0.65949,0.024108,0.01466,0.0048636,0.0081404,0.0081404,0.02304
142,0.028059,0.032727,0.010271,0.9532,0.81869,0.89168,0.72608,0.019685,0.013814,0.0085335,0.0081926,0.0081926,0.022493
143,0.028789,0.029519,0.0096296,0.77994,0.95042,0.89554,0.65579,0.021547,0.014377,0.0098116,0.0082447,0.0082447,0.021945
144,0.026984,0.029108,0.0099725,0.95165,0.84315,0.90493,0.70871,0.020299,0.013879,0.012028,0.0082966,0.0082966,0.021397
145,0.027514,0.030712,0.0098945,0.81834,0.84971,0.88672,0.63226,0.022101,0.014801,0.014643,0.0083485,0.0083485,0.020848
146,0.029081,0.032551,0.0092472,0.94361,0.84474,0.92261,0.69326,0.023405,0.015619,0.01082,0.0084002,0.0084002,0.0203
147,0.027122,0.028811,0.0098099,0.85081,0.91559,0.92661,0.71754,0.021538,0.014479,0.0088977,0.0084519,0.0084519,0.019752
148,0.029845,0.031189,0.0096175,0.88393,0.90974,0.93948,0.70823,0.021914,0.014425,0.0079866,0.0085034,0.0085034,0.019203
149,0.027268,0.028276,0.0085696,0.86209,0.88101,0.92185,0.66207,0.022904,0.014809,0.0085648,0.0085548,0.0085548,0.018655
150,0.027896,0.028596,0.0088637,0.89142,0.88909,0.94772,0.74682,0.018541,0.013511,0.0071489,0.0086061,0.0086061,0.018106
151,0.032191,0.033724,0.0086013,0.89217,0.89832,0.94715,0.70601,0.021785,0.01438,0.01071,0.0086573,0.0086573,0.017557
152,0.026831,0.029095,0.0098665,0.87288,0.91779,0.9416,0.74651,0.019096,0.015051,0.0099201,0.0087084,0.0087084,0.017008
153,0.031524,0.028351,0.0092668,0.87201,0.876,0.92621,0.75068,0.017051,0.01459,0.0096407,0.0087594,0.0087594,0.016459
154,0.029766,0.031862,0.0092812,0.9497,0.88903,0.9584,0.71902,0.022272,0.014254,0.011313,0.0088102,0.0088102,0.01591
155,0.026842,0.028699,0.0093881,0.94353,0.92852,0.96555,0.76562,0.018145,0.013551,0.0092041,0.0088609,0.0088609,0.015361
156,0.026856,0.032624,0.0096795,0.90638,0.89593,0.95745,0.76707,0.018786,0.0143,0.012061,0.0089116,0.0089116,0.014812
157,0.025173,0.030298,0.0088895,0.90258,0.92286,0.96599,0.77752,0.01885,0.013871,0.012603,0.0089621,0.0089621,0.014262
158,0.028604,0.033807,0.0090338,0.90269,0.90812,0.95372,0.74244,0.018905,0.014459,0.0082548,0.0090124,0.0090124,0.013712
159,0.025741,0.030037,0.0086414,0.97316,0.92333,0.98175,0.76944,0.019559,0.013885,0.0070061,0.0090627,0.0090627,0.013163
160,0.031849,0.029851,0.009681,0.91656,0.9389,0.97328,0.75576,0.02171,0.014047,0.0045811,0.0091129,0.0091129,0.012613
161,0.026809,0.027374,0.011487,0.96222,0.9802,0.9922,0.76935,0.021301,0.014111,0.0050078,0.0091629,0.0091629,0.012063
162,0.02688,0.027457,0.0093881,0.93783,0.93147,0.9819,0.78829,0.018563,0.014573,0.0071616,0.0092128,0.0092128,0.011513
163,0.026611,0.029257,0.0092853,0.97071,0.96293,0.98673,0.78019,0.019359,0.014178,0.0047776,0.0092626,0.0092626,0.010963
164,0.029543,0.028027,0.0081726,0.82893,0.8537,0.91464,0.68703,0.02169,0.015933,0.014163,0.0093123,0.0093123,0.010412
165,0.025485,0.028235,0.0089866,0.85292,0.87209,0.93142,0.71972,0.019418,0.014785,0.0105,0.0093618,0.0093618,0.0098618
166,0.024927,0.028062,0.0080525,0.86381,0.94641,0.95036,0.74502,0.0194,0.014211,0.0071249,0.0094018,0.0094018,0.0094018
167,0.025082,0.02708,0.0098506,0.89357,0.91668,0.95073,0.76599,0.018908,0.014208,0.0049497,0.0094018,0.0094018,0.0094018
168,0.029744,0.02959,0.0087687,0.96159,0.9685,0.98328,0.77794,0.01956,0.014038,0.004055,0.0093948,0.0093948,0.0093948
169,0.02641,0.029522,0.0095478,0.89031,0.94653,0.95316,0.75579,0.018401,0.013613,0.0071795,0.0093877,0.0093877,0.0093877
170,0.023093,0.028293,0.008413,0.96741,0.96127,0.97958,0.81355,0.015959,0.013124,0.0035596,0.0093805,0.0093805,0.0093805
171,0.027908,0.027901,0.0075473,0.96746,0.95208,0.98234,0.7796,0.018415,0.014226,0.0050726,0.0093733,0.0093733,0.0093733
172,0.026651,0.031501,0.0081322,0.93046,0.93165,0.98359,0.77629,0.019893,0.014535,0.0053081,0.0093661,0.0093661,0.0093661
